congress,chamber,icpsr,party_code,,,,,,,,,
3,Senate,1118,4000,,,,,,,,,
3,Senate,2866,4000,,,,,,,,,
3,Senate,4333,5000,,,,,,,,,
3,Senate,7564,5000,,,,,,,,,
3,Senate,1384,5000,,,,,,,,,
3,Senate,9028,5000,,,,,,,,,
3,Senate,5449,4000,,,,,,,,,
3,Senate,5713,5000,,,,,,,,,
3,Senate,3361,5000,,,,,,,,,
3,Senate,8150,5000,,,,,,,,,
3,Senate,1302,4000,,,,,,,,,
3,Senate,5270,5000,,,,,,,,,
3,Senate,4212,4000,,,,,,,,,
3,Senate,6012,4000,,,,,,,,,
3,Senate,3437,4000,,,,,,,,,
3,Senate,6712,5000,,,,,,,,,
3,Senate,8070,5000,,,,,,,,,
3,Senate,951,5000,,,,,,,,,
3,Senate,3315,5000,,,,,,,,,
3,Senate,1346,4000,,,,,,,,,
3,Senate,4837,5000,,,,,,,,,
3,Senate,956,4000,,,,,,,,,
3,Senate,7989,4000,,,,,,,,,
3,Senate,6594,4000,,,,,,,,,
3,Senate,9215,4000,,,,,,,,,
3,Senate,9238,4000,,,,,,,,,
4,President,99869,1,,,,,,,,,
4,House,1914,1,,,,,,,,,
4,House,2316,1,,,,,,,,,
4,House,2355,1,,,,,,,,,
4,House,3678,1,,,,,,,,,
4,House,3846,1,,,,,,,,,
4,House,4433,1,,,,,,,,,
4,House,8671,1,,,,,,,,,
4,House,9127,1,,,,,,,,,
4,House,9452,1,,,,,,,,,
4,House,7235,13,,,,,,,,,
4,House,379,13,,,,,,,,,
4,House,6472,13,,,,,,,,,
4,House,3798,13,,,,,,,,,
4,House,7084,13,,,,,,,,,
4,House,1716,13,,,,,,,,,
4,House,2125,1,,,,,,,,,
4,House,2139,1,,,,,,,,,
4,House,2512,1,,,,,,,,,
4,House,2796,13,,,,,,,,,
4,House,4441,1,,,,,,,,,
4,House,6830,1,,,,,,,,,
4,House,8678,13,,,,,,,,,
4,House,8810,13,,,,,,,,,
4,House,8811,13,,,,,,,,,
4,House,154,1,,,,,,,,,
4,House,947,1,,,,,,,,,
4,House,2451,13,,,,,,,,,
4,House,3303,1,,,,,,,,,
4,House,3358,1,,,,,,,,,
4,House,3674,1,,,,,,,,,
4,House,5611,1,,,,,,,,,
4,House,5850,1,,,,,,,,,
4,House,5852,13,,,,,,,,,
4,House,7788,1,,,,,,,,,
4,House,8344,1,,,,,,,,,
4,House,8376,1,,,,,,,,,
4,House,8563,13,,,,,,,,,
4,House,9268,1,,,,,,,,,
4,House,9650,13,,,,,,,,,
4,House,9707,1,,,,,,,,,
4,House,3299,1,,,,,,,,,
4,House,3610,1,,,,,,,,,
4,House,8448,13,,,,,,,,,
4,House,8644,1,,,,,,,,,
4,House,2440,1,,,,,,,,,
4,House,4315,1,,,,,,,,,
4,House,5303,1,,,,,,,,,
4,House,8637,1,,,,,,,,,
4,House,9353,1,,,,,,,,,
4,House,351,13,,,,,,,,,
4,House,2058,1,,,,,,,,,
4,House,3573,1,,,,,,,,,
4,House,3628,1,,,,,,,,,
4,House,4193,13,,,,,,,,,
4,House,4204,13,,,,,,,,,
4,House,5715,13,,,,,,,,,
4,House,9591,1,,,,,,,,,
4,House,9602,13,,,,,,,,,
4,House,10159,1,,,,,,,,,
4,House,805,13,,,,,,,,,
4,House,1176,13,,,,,,,,,
4,House,1255,13,,,,,,,,,
4,House,3342,13,,,,,,,,,
4,House,3594,13,,,,,,,,,
4,House,3859,1,,,,,,,,,
4,House,4519,13,,,,,,,,,
4,House,5734,13,,,,,,,,,
4,House,5895,13,,,,,,,,,
4,House,9048,1,,,,,,,,,
4,House,9187,13,,,,,,,,,
4,House,429,13,,,,,,,,,
4,House,2881,1,,,,,,,,,
4,House,3147,13,,,,,,,,,
4,House,3437,13,,,,,,,,,
4,House,3805,13,,,,,,,,,
4,House,4156,1,,,,,,,,,
4,House,4390,13,,,,,,,,,
4,House,5310,1,,,,,,,,,
4,House,5890,13,,,,,,,,,
4,House,6781,13,,,,,,,,,
4,House,7870,13,,,,,,,,,
4,House,8555,1,,,,,,,,,
4,House,9107,13,,,,,,,,,
4,House,9308,1,,,,,,,,,
4,House,884,1,,,,,,,,,
4,House,5935,1,,,,,,,,,
4,House,7553,1,,,,,,,,,
4,House,656,13,,,,,,,,,
4,House,2816,13,,,,,,,,,
4,House,4019,13,,,,,,,,,
4,House,4090,1,,,,,,,,,
4,House,8702,1,,,,,,,,,
4,House,10275,13,,,,,,,,,
4,House,4843,13,,,,,,,,,
4,House,1195,1,,,,,,,,,
4,House,8639,13,,,,,,,,,
4,House,1007,13,,,,,,,,,
4,House,1380,13,,,,,,,,,
4,House,1739,13,,,,,,,,,
4,House,1853,13,,,,,,,,,
4,House,1936,13,,,,,,,,,
4,House,3582,13,,,,,,,,,
4,House,4026,1,,,,,,,,,
4,House,4127,13,,,,,,,,,
4,House,4269,13,,,,,,,,,
4,House,4850,13,,,,,,,,,
4,House,5903,13,,,,,,,,,
4,House,6625,13,,,,,,,,,
4,House,6886,13,,,,,,,,,
4,House,6911,13,,,,,,,,,
4,House,7156,13,,,,,,,,,
4,House,7199,1,,,,,,,,,
4,House,7603,13,,,,,,,,,
4,House,8148,13,,,,,,,,,
4,House,9658,13,,,,,,,,,
4,Senate,2936,1,,,,,,,,,
4,Senate,4433,1,,,,,,,,,
4,Senate,9452,1,,,,,,,,,
4,Senate,9489,1,,,,,,,,,
4,Senate,5494,1,,,,,,,,,
4,Senate,9676,1,,,,,,,,,
4,Senate,3877,1,,,,,,,,,
4,Senate,4854,13,,,,,,,,,
4,Senate,9189,13,,,,,,,,,
4,Senate,9796,1,,,,,,,,,
4,Senate,1118,13,,,,,,,,,
4,Senate,6000,1,,,,,,,,,
4,Senate,4333,1,,,,,,,,,
4,Senate,4628,1,,,,,,,,,
4,Senate,7564,1,,,,,,,,,
4,Senate,1384,1,,,,,,,,,
4,Senate,3674,1,,,,,,,,,
4,Senate,8344,1,,,,,,,,,
4,Senate,9028,1,,,,,,,,,
4,Senate,5449,13,,,,,,,,,
4,Senate,5713,1,,,,,,,,,
4,Senate,3361,1,,,,,,,,,
4,Senate,8150,1,,,,,,,,,
4,Senate,8964,1,,,,,,,,,
4,Senate,1302,13,,,,,,,,,
4,Senate,5270,1,,,,,,,,,
4,Senate,5498,1,,,,,,,,,
4,Senate,800,13,,,,,,,,,
4,Senate,6012,13,,,,,,,,,
4,Senate,719,1,,,,,,,,,
4,Senate,8070,1,,,,,,,,,
4,Senate,951,1,,,,,,,,,
4,Senate,3315,1,,,,,,,,,
4,Senate,1346,13,,,,,,,,,
4,Senate,4753,13,,,,,,,,,
4,Senate,7763,1,,,,,,,,,
4,Senate,806,13,,,,,,,,,
4,Senate,1888,13,,,,,,,,,
4,Senate,7164,1,,,,,,,,,
4,Senate,7989,13,,,,,,,,,
4,Senate,9378,1,,,,,,,,,
4,Senate,6063,13,,,,,,,,,
4,Senate,9238,13,,,,,,,,,
5,President,99870,1,,,,,,,,,
5,House,112,1,,,,,,,,,
5,House,943,1,,,,,,,,,
5,House,1914,1,,,,,,,,,
5,House,2316,1,,,,,,,,,
5,House,2355,1,,,,,,,,,
5,House,2852,1,,,,,,,,,
5,House,3678,1,,,,,,,,,
5,House,3846,1,,,,,,,,,
5,House,8671,1,,,,,,,,,
5,House,524,1,,,,,,,,,
5,House,379,13,,,,,,,,,
5,House,6472,13,,,,,,,,,
5,House,2413,13,,,,,,,,,
5,House,3324,13,,,,,,,,,
5,House,332,1,,,,,,,,,
5,House,2139,1,,,,,,,,,
5,House,2501,1,,,,,,,,,
5,House,2512,1,,,,,,,,,
5,House,4441,1,,,,,,,,,
5,House,6087,1,,,,,,,,,
5,House,8678,13,,,,,,,,,
5,House,8810,13,,,,,,,,,
5,House,484,1,,,,,,,,,
5,House,947,1,,,,,,,,,
5,House,1232,1,,,,,,,,,
5,House,3303,1,,,,,,,,,
5,House,3358,13,,,,,,,,,
5,House,5850,1,,,,,,,,,
5,House,7108,1,,,,,,,,,
5,House,7192,1,,,,,,,,,
5,House,7788,1,,,,,,,,,
5,House,8376,1,,,,,,,,,
5,House,8440,1,,,,,,,,,
5,House,8563,13,,,,,,,,,
5,House,9268,1,,,,,,,,,
5,House,9650,13,,,,,,,,,
5,House,9707,1,,,,,,,,,
5,House,3299,1,,,,,,,,,
5,House,3357,1,,,,,,,,,
5,House,3701,1,,,,,,,,,
5,House,8644,1,,,,,,,,,
5,House,8802,1,,,,,,,,,
5,House,2440,1,,,,,,,,,
5,House,4800,1,,,,,,,,,
5,House,8278,1,,,,,,,,,
5,House,8544,1,,,,,,,,,
5,House,9353,1,,,,,,,,,
5,House,1072,1,,,,,,,,,
5,House,1881,1,,,,,,,,,
5,House,2941,13,,,,,,,,,
5,House,3628,1,,,,,,,,,
5,House,4204,13,,,,,,,,,
5,House,4593,1,,,,,,,,,
5,House,5715,13,,,,,,,,,
5,House,9591,1,,,,,,,,,
5,House,9602,13,,,,,,,,,
5,House,10159,1,,,,,,,,,
5,House,805,13,,,,,,,,,
5,House,1176,13,,,,,,,,,
5,House,1255,13,,,,,,,,,
5,House,3594,13,,,,,,,,,
5,House,3859,1,,,,,,,,,
5,House,5734,13,,,,,,,,,
5,House,5895,13,,,,,,,,,
5,House,6229,13,,,,,,,,,
5,House,8756,13,,,,,,,,,
5,House,8837,13,,,,,,,,,
5,House,10176,13,,,,,,,,,
5,House,429,13,,,,,,,,,
5,House,1132,13,,,,,,,,,
5,House,1655,1,,,,,,,,,
5,House,2881,1,,,,,,,,,
5,House,3147,13,,,,,,,,,
5,House,3437,13,,,,,,,,,
5,House,3805,13,,,,,,,,,
5,House,4037,13,,,,,,,,,
5,House,4156,1,,,,,,,,,
5,House,4394,13,,,,,,,,,
5,House,5310,1,,,,,,,,,
5,House,6155,13,,,,,,,,,
5,House,8555,1,,,,,,,,,
5,House,9107,13,,,,,,,,,
5,House,9308,1,,,,,,,,,
5,House,9779,1,,,,,,,,,
5,House,1633,1,,,,,,,,,
5,House,7553,1,,,,,,,,,
5,House,9385,1,,,,,,,,,
5,House,656,13,,,,,,,,,
5,House,4090,1,,,,,,,,,
5,House,7458,1,,,,,,,,,
5,House,8153,1,,,,,,,,,
5,House,8695,13,,,,,,,,,
5,House,8702,1,,,,,,,,,
5,House,9088,13,,,,,,,,,
5,House,1741,13,,,,,,,,,
5,House,5867,13,,,,,,,,,
5,House,6710,1,,,,,,,,,
5,House,1007,13,,,,,,,,,
5,House,1380,13,,,,,,,,,
5,House,1739,13,,,,,,,,,
5,House,1815,13,,,,,,,,,
5,House,1853,13,,,,,,,,,
5,House,2426,13,,,,,,,,,
5,House,2883,13,,,,,,,,,
5,House,3021,1,,,,,,,,,
5,House,3582,13,,,,,,,,,
5,House,4127,13,,,,,,,,,
5,House,4532,13,,,,,,,,,
5,House,5064,13,,,,,,,,,
5,House,5879,1,,,,,,,,,
5,House,6674,1,,,,,,,,,
5,House,6886,13,,,,,,,,,
5,House,6911,13,,,,,,,,,
5,House,7199,1,,,,,,,,,
5,House,9468,13,,,,,,,,,
5,House,9470,13,,,,,,,,,
5,House,9658,13,,,,,,,,,
5,Senate,4433,1,,,,,,,,,
5,Senate,9452,1,,,,,,,,,
5,Senate,1823,1,,,,,,,,,
5,Senate,5494,1,,,,,,,,,
5,Senate,9676,1,,,,,,,,,
5,Senate,9947,1,,,,,,,,,
5,Senate,3877,1,,,,,,,,,
5,Senate,9189,13,,,,,,,,,
5,Senate,1118,13,,,,,,,,,
5,Senate,6000,1,,,,,,,,,
5,Senate,4333,1,,,,,,,,,
5,Senate,4628,1,,,,,,,,,
5,Senate,5725,1,,,,,,,,,
5,Senate,3674,1,,,,,,,,,
5,Senate,8344,1,,,,,,,,,
5,Senate,5449,13,,,,,,,,,
5,Senate,5713,1,,,,,,,,,
5,Senate,2351,1,,,,,,,,,
5,Senate,8150,1,,,,,,,,,
5,Senate,8964,1,,,,,,,,,
5,Senate,4469,1,,,,,,,,,
5,Senate,5498,1,,,,,,,,,
5,Senate,6963,1,,,,,,,,,
5,Senate,8282,1,,,,,,,,,
5,Senate,9874,1,,,,,,,,,
5,Senate,800,13,,,,,,,,,
5,Senate,6012,13,,,,,,,,,
5,Senate,719,1,,,,,,,,,
5,Senate,8070,1,,,,,,,,,
5,Senate,951,1,,,,,,,,,
5,Senate,3315,1,,,,,,,,,
5,Senate,3791,1,,,,,,,,,
5,Senate,4753,13,,,,,,,,,
5,Senate,7455,13,,,,,,,,,
5,Senate,7763,1,,,,,,,,,
5,Senate,174,13,,,,,,,,,
5,Senate,806,13,,,,,,,,,
5,Senate,1888,13,,,,,,,,,
5,Senate,4843,13,,,,,,,,,
5,Senate,8608,13,,,,,,,,,
5,Senate,1706,1,,,,,,,,,
5,Senate,7164,1,,,,,,,,,
5,Senate,9378,1,,,,,,,,,
5,Senate,6063,13,,,,,,,,,
5,Senate,9238,13,,,,,,,,,
6,President,99870,1,,,,,,,,,
6,House,943,1,,,,,,,,,
6,House,2316,1,,,,,,,,,
6,House,2357,1,,,,,,,,,
6,House,2852,1,,,,,,,,,
6,House,3678,1,,,,,,,,,
6,House,3679,1,,,,,,,,,
6,House,3846,1,,,,,,,,,
6,House,8651,1,,,,,,,,,
6,House,524,1,,,,,,,,,
6,House,5038,1,,,,,,,,,
6,House,9165,1,,,,,,,,,
6,House,2413,13,,,,,,,,,
6,House,3324,13,,,,,,,,,
6,House,332,1,,,,,,,,,
6,House,1716,13,,,,,,,,,
6,House,2139,1,,,,,,,,,
6,House,2501,1,,,,,,,,,
6,House,2512,1,,,,,,,,,
6,House,6925,13,,,,,,,,,
6,House,8678,13,,,,,,,,,
6,House,9299,1,,,,,,,,,
6,House,484,1,,,,,,,,,
6,House,733,13,,,,,,,,,
6,House,3303,1,,,,,,,,,
6,House,5568,1,,,,,,,,,
6,House,5668,13,,,,,,,,,
6,House,5850,1,,,,,,,,,
6,House,6089,1,,,,,,,,,
6,House,7108,1,,,,,,,,,
6,House,7764,1,,,,,,,,,
6,House,7788,1,,,,,,,,,
6,House,8344,1,,,,,,,,,
6,House,8376,1,,,,,,,,,
6,House,8440,1,,,,,,,,,
6,House,9268,1,,,,,,,,,
6,House,9650,13,,,,,,,,,
6,House,9707,1,,,,,,,,,
6,House,10169,1,,,,,,,,,
6,House,3299,1,,,,,,,,,
6,House,3357,1,,,,,,,,,
6,House,3701,1,,,,,,,,,
6,House,8423,1,,,,,,,,,
6,House,9257,1,,,,,,,,,
6,House,1974,13,,,,,,,,,
6,House,2351,1,,,,,,,,,
6,House,4800,1,,,,,,,,,
6,House,5303,13,,,,,,,,,
6,House,5687,13,,,,,,,,,
6,House,351,13,,,,,,,,,
6,House,722,1,,,,,,,,,
6,House,2058,1,,,,,,,,,
6,House,2941,13,,,,,,,,,
6,House,3628,1,,,,,,,,,
6,House,4204,13,,,,,,,,,
6,House,5715,13,,,,,,,,,
6,House,7481,1,,,,,,,,,
6,House,8647,13,,,,,,,,,
6,House,9328,13,,,,,,,,,
6,House,9602,13,,,,,,,,,
6,House,148,13,,,,,,,,,
6,House,2581,1,,,,,,,,,
6,House,3859,1,,,,,,,,,
6,House,4303,1,,,,,,,,,
6,House,4426,1,,,,,,,,,
6,House,5895,13,,,,,,,,,
6,House,8756,13,,,,,,,,,
6,House,8837,13,,,,,,,,,
6,House,8977,13,,,,,,,,,
6,House,10176,13,,,,,,,,,
6,House,1132,13,,,,,,,,,
6,House,3437,13,,,,,,,,,
